HVP-6.0-SP2p41.1-2199-39494
Interactive Services
AdministrationReportsConfigurationuser: rmgamata@west.com Logout
Customer Usage
Call
Call ID:	e4007-20180312172019410-322
Application Name:	backend
Application Description:	backend
CLID:	8008388383
DNIS:	4070182
Call Date:	Monday, March 12th 2018
Call Utterance:	
Event Search
Event ID:	  
Parameter:	
 
Events
Time	ID	Param ID	Utterance
17:20:19	sip session	callid=1946976451_81512170@10.27.138.136|remote-rtp=10.27.138.134:6530|local-rtp=10.27.128.108:11768|originator=REMOTE	-
17:20:19	call start	ANI=8008388383|DNIS=4070182|VURL=http://vxmlapps/vxml/wic/update/index.php|outbound=N	-
17:20:19	asr session	asrengine=nuance90-mrcp1|sessionid=FKKGOPBDAAAGIHMJAAAAAAAA|address=10.27.139.178:554|server=Nuance Open Speech Recognizer for MRCPv1|setuptime=0.002|endpoint=10.27.131.53:8696	-
17:20:19	document dump	URL=/opt/holly/client/data/dnis/all.js|fetchtype=script|mimetype=test/javascript	-
17:20:19	note	message=enable full call recording|callrecording=/var/data/holly/data/call/2018/0312/1720/e4007-20180312172019410-322/call.wav	-
17:20:19	document transition	uri=call_initialization|cpu=0.010000|normalcpu=0.010000	-
17:20:19	fetch	uri=http://vxmlapps/vxml/wic/update/index.php|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.007|documentsize=11210|outcome=success|failover=false|localport=45884|hostname=vxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=41|bytesread=11648|byteswritten=183|cachedecision=nc(pragma no-cache)	-
17:20:19	document dump	URL=http://vxmlapps/vxml/wic/update/index.php|fetchtype=vxml|mimetype=text/html	-
17:20:19	fetch	uri=http://vxmlapps/vxml/wic/update/version1511202396/root.vxml.php|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.006|documentsize=4759|outcome=success|failover=false|localport=45886|hostname=vxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=63|bytesread=5034|byteswritten=396|cachedecision=nc(pragma no-cache)	-
17:20:19	document dump	URL=http://vxmlapps/vxml/wic/update/version1511202396/root.vxml.php|fetchtype=vxml|mimetype=text/html	-
17:20:19	document transition	uri=http://vxmlapps/vxml/wic/update/index.php|cpu=0.000000|normalcpu=0.000000	-
17:20:19	fetch	uri=http://vxmlapps/vxml/wic/update/index.php|fetchtype=vxml|mimetype=text/html|incache=false|latency=0.006|documentsize=511|outcome=success|failover=false|localport=45888|hostname=vxmlapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=41|bytesread=785|byteswritten=2074|cachedecision=n/a	-
17:20:19	document dump	URL=http://vxmlapps/vxml/wic/update/index.php|fetchtype=vxml|mimetype=text/html	-
